Title,Address,City,Price,Bedroom,Bathroom,Floors,Parking,Area,Road Width,Road Type,Build Area
"Budhanilkantha Taulung Home : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,55000000,5,6,3,4,19 Aana,20 Feet , Gravelled,N/A Aana
"Semi-Furnished House : House For Sale In Sitapaila, Kathmandu","Ramkot, Sitapaila, Kathmandu",Kathmandu,24000000,4,4,2.5,1,0-4-0-0 Aana,13 Feet , Blacktopped,2100 Sq. Feet
"Dhapasi Deurali Janata Najik Ghar : House For Sale In Dhapasi, Kathmandu","Na, Dhapasi, Kathmandu",Kathmandu,37000000,6,6,3,3,6.1 Aana,32 Feet,NA,N/A Aana
"Golfutar Height 19 Ana Bungalow : House For Sale In Golfutar, Kathmandu","Na, Golfutar, Kathmandu",Kathmandu,102500000,6,6,3,4,19 Aana,13 Feet , Blacktopped,N/A Aana
"Newly Constructed : House For Sale In Imadol, Lalitpur","Sital height, Imadol, Lalitpur",Lalitpur,22000000,7,4,3.5,2,0-4-2-0 Aana,13 Feet , Gravelled,2700 Aana
"House For Sale In Pepsicola, Kathmandu","Na, Pepsicola, Kathmandu",Kathmandu,58500000,6,6,3,2,6.5 Aana,16 Feet , Blacktopped,N/A Aana
"House For Sale In Imadol, Lalitpur","Bojepokhari, Imadol, Lalitpur",Lalitpur,18500000,4,3,2.5,1,0-3-0-0 Aana,13 Feet , Gravelled,N/A Sq. Feet
"Newly Built House : House For Sale In Imadol, Lalitpur","Bojepokhari, Imadol, Lalitpur",Lalitpur,21000000,4,3,2.5,1,0-3-2-0 Aana,13 Feet , Gravelled,112 Sq. Meter
"Imadol, Swastik Tole House On Sell : House For Sale In Imadol, Lalitpur","Swastik Tole, Imadol, Lalitpur",Lalitpur,17500000,5,3,3,1,3-0-2 Aana,13 Feet,NA,3-0-2 Aana
"Baluwatar New Home : House For Sale In Baluwatar, Kathmandu","Na, Baluwatar, Kathmandu",Kathmandu,130000000,5,6,3,3,10 Aana,15 Feet , Blacktopped,N/A Aana
"Budhanilkantha Underconstruction : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,105000000,8,8,4,4,21 Aana,15 Feet , Blacktopped,N/A Aana
"4 Ropani Farm House Budhanilkantha : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,105000000,5,5,3,4,4 Ropani,15 Feet , Gravelled,N/A Aana
"Kapan Khariboth Home : House For Sale In Kapan, Kathmandu","Na, Kapan, Kathmandu",Kathmandu,27500000,6,5,3,1,4 ana Aana,16 Feet , Blacktopped,N/A Aana
"Dhumbarahi Home For Sale : House For Sale In Mandikatar, Kathmandu","Na, Mandikatar, Kathmandu",Kathmandu,40000000,7,7,4,2,7 Aana,15 Feet , Blacktopped,N/A Aana
"Hattigaudama 5 Anako Ghar Bikrima : House For Sale In Hattigauda, Kathmandu","NA, Hattigauda, Kathmandu",Kathmandu,26500000,6,6,3,2,5 Aana,14 Feet , Blacktopped,N/A Aana
"Office Space For Rent In Radhe Radhe, Bhaktapur","Nearby Bhatbhateni Super market, Radhe Radhe, Bhaktapur",Bhaktapur,50,0,2,3.5,2,2500 Sq. Feet,20 Feet , Blacktopped,N/A Sq. Feet
"Grandy Gate Home : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,22500000,6,6,3,1,3.1 Aana,18 Feet , Blacktopped,N/A Aana
"11 Ana Bungalow For Sale : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,60000000,6,6,3,4,11 Aana,15 Feet , Soil Stabilized,N/A Aana
"Baluwatar 30 Ana Bungalow For Sale : House For Sale In Baluwatar, Kathmandu","Na, Baluwatar, Kathmandu",Kathmandu,250000000,6,5,3,10,30 Aana,15 Feet,NA,N/A Aana
"Grandy House For Sale : House For Sale In Tokha, Kathmandu","Na, Tokha, Kathmandu",Kathmandu,40000000,9,6,4,3,9 Aana,13 Feet , Paved,N/A Aana
"Sukedhara Brand New Home For Sale : House For Sale In Sukedhara, Kathmandu","Na, Sukedhara, Kathmandu",Kathmandu,30000000,6,5,3,1,3.5 Aana,15 Feet , Blacktopped,N/A Aana
"Naksal Maligau Home For Sale : House For Sale In Maligaon, Kathmandu","NA, Maligaon, Kathmandu",Kathmandu,65000000,6,6,3,4,12 Aana,14 Feet , Gravelled,N/A Aana
"Hattigauda 5 Ana Home : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,33000000,5,6,3,2,5 Aana,13 Feet , Blacktopped,N/A Aana
"Golfutar Height Home : House For Sale In Budhanilkantha, Kathmandu","Man, Budhanilkantha, Kathmandu",Kathmandu,30500000,5,5,2,1,4 Aana,13 Feet , Blacktopped,N/A Aana
"Mandikatar 1 Floor Home : House For Sale In Mandikatar, Kathmandu","Na, Mandikatar, Kathmandu",Kathmandu,14000000,2,2,1,1,3.1 ana Aana,13 Feet , Gravelled,N/A Aana
"Jyotinagar Home For Sale : House For Sale In Budhanilkantha, Kathmandu","NA, Budhanilkantha, Kathmandu",Kathmandu,28000000,6,6,3,1,4 Aana,13 Feet , Blacktopped,N/A Aana
"Dhapasi Height Commercil Building : House For Sale In Tokha, Kathmandu","Na, Tokha, Kathmandu",Kathmandu,41000000,10,5,4,3,4 Aana,26 Feet , Blacktopped,N/A Aana
"Sundar Basti Brand New Home 2 Homes : House For Sale In Budhanilkantha, Kathmandu","NA, Budhanilkantha, Kathmandu",Kathmandu,27000000,6,6,3,2,4.5 Aana,14 Feet , Gravelled,N/A Aana
"Tokha Near Venas Housing Home : House For Sale In Tokha, Kathmandu","Na, Tokha, Kathmandu",Kathmandu,22000000,5,5,3,1,3.1 Aana,13 Feet , Soil Stabilized,N/A Aana
"8 Ana Home Budhanilkantha : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,37000000,5,5,3,3,8 Aana,15 Feet , Blacktopped,N/A Aana
"House For Sale In Baluwatar, Kathmandu","Chandol, Height, Baluwatar, Kathmandu",Kathmandu,46000000,4,3,2.5,1,0-6-3-0 Aana,13 Feet , Concrete,N/A Aana
"Sale Of Attractive House And Land : House For Sale In Naikap, Kathmandu","Piple Chautari Tole (Naya Basti), Naikap, Kathmandu",Kathmandu,22500000,5,3,3,1,4 Aana,13 Feet,NA,4 Aana
"Brand New Never Used House For Sale At Rose Village Balkot : House For Sale In Balkot, Bhaktapur","Rose Village Balkot, Balkot, Bhaktapur",Bhaktapur,29000000,3,3,2,2,4.5 Aana,20 Feet , Blacktopped,2200 Sq. Feet
"House On Sale : House For Sale In Naya Bazar, Kathmandu","Nayabazar-16, Naya Bazar, Kathmandu",Kathmandu,31000000,3,4,3,1,0-3-0-0 Aana,6 Meter , Blacktopped,2000 Sq. Feet
"Commercial House Sale In Satungal : House For Sale In Satungal, Kathmandu","Commercial land sale in Satungal, Satungal, Kathmandu",Kathmandu,42500000,0,0,N/A,0,0-5-1-1 Aana,29 Feet,NA,N/A Aana
"Flat House On Sale, 500 Meter Far From Main Road. : House For Sale In Budhanilkantha, Kathmandu","pasikot/Budhanilkantha, Budhanilkantha, Kathmandu",Kathmandu,37500000,5,5,3,2,5 Aana,0 Feet,NA,3 Aana
"House For Sale In Tarkeshwor, Kathmandu","Nagpokhari road, Tarkeshwor, Kathmandu",Kathmandu,13000000,2,1,1,1,3.1.0 Aana,0 Feet,NA,N/A Aana
"House With 4 Ropani, Only Land Cost -Budhanilkantha : House For Sale In Budhanilkantha, Kathmandu","Muhanpokhari Budhanilkantha, Budhanilkantha, Kathmandu",Kathmandu,105000000,4,3,N/A,4,4-0-0-0 Ropani,20 Feet,NA,N/A Aana
"Modern House For Sale -Baluwatar : House For Sale In Baluwatar, Kathmandu","Shree Marga, Baluwatar, Kathmandu",Kathmandu,80000000,4,5,N/A,4,0-9-3-3 Aana,13 Feet , Gravelled,4000 Sq. Feet
"House For Sale -Nakkhudol Bhaisepati : House For Sale In Nakhundol, Lalitpur","Nakkhudol Bhaisepati, Nakhundol, Lalitpur",Lalitpur,25000000,3,4,2,2,0-4-2-0 Aana,13 Feet , Gravelled,N/A Aana
"Bungalow : House For Sale In Bhaktapur, Bhaktapur","Gamcha, Bhaktapur, Bhaktapur",Bhaktapur,32500000,4,4,2,4,7 Aana,20 Feet , Paved,2200 Sq. Feet
"जोरपाटी माकलबारी सानो पुल नजिक : House For Sale In Jorpati, Kathmandu","jorpati makalbari near sano pool, Jorpati, Kathmandu",Kathmandu,21000000,5,3,3,1,0-3-2-0 Sq. Feet,12 Feet , Blacktopped,0-3-1-2 Sq. Feet
"Bungalow At Aananda Colony, Aastha Chowk : House For Sale In Bharatpur, Chitwan","Aananda Colony, Bharatpur, Chitwan",Chitwan,16000000,3,4,2,1,0-0-11.5 Dhur,6 Meter,NA,1736 Dhur
"House Sale In Raniban : House For Sale In Raniban, Kathmandu","Raniban, Raniban, Kathmandu",Kathmandu,120000000,0,0,N/A,0,1-15-0-0 Aana,20 Feet,NA,N/A Aana
"Attractive House For Sale In Ratnanagar, Chitwan : House For Sale In Ratnanagar, Chitwan","Jerauna, Ratnanagar, Chitwan",Chitwan,7700000,4,2,2,1,6 Aana,16 Feet , Gravelled,4 Aana
"Residential House : House For Sale In Makalbari, Kathmandu","Sundar Tole, Makalbari, Kathmandu",Kathmandu,20000000,7,3,2.5,2,0-4-1-1 Aana,10 Feet , Gravelled,N/A Aana
"3.5 Storey : House For Sale In Sipadol, Bhaktapur","Darjeling Height, Sipadol, Bhaktapur",Bhaktapur,19000000,7,4,3.5,1,0-3-0-0 Aana,20 Feet , Gravelled,3500 Aana
"Fully Furnished New House On Sale At Hepali, Budhanilkantha : House For Sale In Budhanilkantha, Kathmandu","Hepali, Budhanilkantha, Budhanilkantha, Kathmandu",Kathmandu,33500000,0,4,3,2,0-4-0-0 Aana,18 Feet , Blacktopped,N/A Aana
"House Sale In Mhepi : House For Sale In Mhepi, Kathmandu","Mhepi, Mhepi, Kathmandu",Kathmandu,37000000,0,0,N/A,0,0-5-0-2 Aana,13 Feet , Blacktopped,N/A Aana
"House Sale In Chaysingdol : House For Sale In Pasikot, Kathmandu","Chyasingdol, Pasikot, Kathmandu",Kathmandu,36000000,0,0,N/A,0,0-7-2-0 Aana,20 Feet,NA,N/A Aana
"House On Sell @Dhapasi, Near By Grandi International Hospital. : House For Sale In Dhapasi, Kathmandu","Harihar Marg, Dhapasi, Dhapasi, Kathmandu",Kathmandu,40000000,8,4,3,5,0-8-3-0 Sq. Feet,12 Feet , Concrete,0-4-0-0 Aana
"One And Half Storied : House For Sale In Imadol, Lalitpur","Nearby Cozy Homes, Imadol, Lalitpur",Lalitpur,12500000,2,1,1,1,0-3-0-0 Aana,20 Feet , Gravelled,N/A Sq. Feet
"Modern Designed : House For Sale In Imadol, Lalitpur","Nearby Cozy Homes, Imadol, Lalitpur",Lalitpur,19500000,5,3,2.5,1,0-3-1-0 Aana,20 Feet , Gravelled,1900 Sq. Feet
"House For Sale In Imadol, Lalitpur","Sanagaun Height, Imadol, Lalitpur",Lalitpur,22000000,5,3,2.5,1,0-3-2-0 Aana,20 Feet , Gravelled,2100 Sq. Feet
"House For Sale In Imadol, Lalitpur","Sanagaun Height, Imadol, Lalitpur",Lalitpur,21500000,4,3,2.5,1,0-4-0-0 Aana,20 Feet , Gravelled,2500 Sq. Feet
"Newly Built : House For Sale In Imadol, Lalitpur","Sanagaun height, Imadol, Lalitpur",Lalitpur,19500000,4,3,2.5,1,0-3-2-0 Aana,20 Feet , Gravelled,750 Aana
"House For Sale In Imadol, Lalitpur","Nearby, Buddha party palace, Imadol, Lalitpur",Lalitpur,19000000,4,3,2.5,1,0-3-0-0 Aana,13 Feet , Gravelled,650 Sq. Feet
"House For Sale In Imadol, Lalitpur","Nearby, Buddha party palace, Imadol, Lalitpur",Lalitpur,18000000,4,3,2.5,1,0-3-0-0 Aana,13 Feet , Gravelled,650 Sq. Feet
"Brand New House For Sale In Swoyambhu/Swayambhu : House For Sale In Swayambhu, Kathmandu","Swoyambhu, Swayambhu, Kathmandu",Kathmandu,37000000,8,5,3,2,0-5-1-3 Aana,12 Feet , Gravelled,990 Sq. Feet
"Brand New House For Sale In Swoyambhu/Swayambhu Near Bhagwan Pau : House For Sale In Swayambhu, Kathmandu","Swoyambhu, Swayambhu, Kathmandu",Kathmandu,34000000,6,3,3,1,0-4-0-0 Aana,12 Feet , Gravelled,950 Sq. Feet
"Vbn : House For Sale In Butwal, Butwal","Nayagaun, Butwal, Butwal",Butwal,800000,2,1,1,1,6.25 Dhur,32 Feet,NA,6.25 Dhur
"Somaney : House For Sale In Imadol, Lalitpur","Imadol, near tempo park, Imadol, Lalitpur",Lalitpur,21000000,0,3,3,1,0.4.0.0 Aana,12 Feet,NA,0-4.0.0 Aana
"House On Sell @Tarkeshwar-09, Manamaiju, Basukinagtole : House For Sale In Manamaiju, Kathmandu","Basukinagtole, Manamaiju, Kathmandu, Manamaiju, Kathmandu",Kathmandu,26000000,8,4,3,1,0-4-0-2 Aana,16 Feet , Gravelled,0-3-2-0 Aana
"House Sale In Syuchatar : House For Sale In Syuchatar, Kathmandu","Syuchatar, Syuchatar, Kathmandu",Kathmandu,22000000,5,3,N/A,1,0-6-2-0 Aana,10 Feet,NA,N/A Aana
"House Sale In Phutung Tushal : House For Sale In Kavresthali, Kathmandu","Phutung Tushal, Kavresthali, Kathmandu",Kathmandu,23000000,7,3,N/A,1,0-4-0-0 Aana,10 Feet,NA,N/A Aana
"House Sale In Thulo Bharyang : House For Sale In Thulo Bharyang, Kathmandu","Thulo bharyang, Thulo Bharyang, Kathmandu",Kathmandu,25000000,8,4,5,0,dont know Sq. Feet,13 Feet , Concrete,N/A Sq. Feet
"House For Sale In Goldhunga, Kathmandu","Jarankhu, Goldhunga, Kathmandu",Kathmandu,15500000,5,2,N/A,1,0-3-2-2 Aana,13 Feet,NA,N/A Aana
"2 And Half Floor House Is On Sale In Imadole : House For Sale In Imadol, Lalitpur","Imadole, Imadol, Lalitpur",Lalitpur,23500000,6,4,3,1,3.3aana Aana,10 Feet,NA,N/A Aana
"House For Sale In Maharajgunj, Kathmandu","Maharajgunj Ganeshbasti, Maharajgunj, Kathmandu",Kathmandu,57500000,0,0,N/A,0,0-6-1-0 Aana,12 Feet , Blacktopped,N/A Aana
"House Sale In Baluwatar : House For Sale In Baluwatar, Kathmandu","Baluwatar, Baluwatar, Kathmandu",Kathmandu,90000000,5,5,N/A,3,0-10-0-0 Aana,20 Feet,NA,N/A Aana
"House For Sale In Kalanki, Kathmandu","Nearby L.R.I School., Kalanki, Kathmandu",Kathmandu,17000000,4,3,2.5,1,0-4-0-0 Aana,10 Feet , Blacktopped,1650 Sq. Feet
"1.5 Storied House : House For Sale In Imadol, Lalitpur","Opposite of Green hill city, Imadol, Lalitpur",Lalitpur,12500000,2,1,1.5,1,0-3-1-0 Aana,13 Feet , Gravelled,N/A Aana
"Plotted Land : Land For Sale In Sirutar, Bhaktapur","Milan Chowk, Sirutar, Bhaktapur",Bhaktapur,2100000,0,0,N/A,0,0-5-2-0 Sq. Feet,20 Feet , Gravelled,N/A Sq. Feet
"House For Sale In Budhanilkantha, Kathmandu","Pasikot, Budhanilkantha, Kathmandu",Kathmandu,45000000,4,4,3,4,11 Aana,22 Feet,NA,N/A Sq. Feet
"1.5 Storey House : House For Sale In Tikathali, Lalitpur","Nearby Pawan Pakriti School., Tikathali, Lalitpur",Lalitpur,12500000,2,1,1.5,1,0-3-0-0 Aana,13 Feet , Gravelled,N/A Sq. Feet
"Residential : House For Sale In Imadol, Lalitpur","Ochu Height, Imadol, Lalitpur",Lalitpur,19000000,4,3,2.5,2,0-3-2-0 Aana,13 Feet , Gravelled,1195 Sq. Feet
"House For Sale In Pasikot, Kathmandu","chyasingdol, Pasikot, Kathmandu",Kathmandu,32000000,0,0,N/A,0,0-10-0-0 Aana,20 Feet,NA,N/A Aana
"One And Half Storied : House For Sale In Kadaghari, Kathmandu","Birendrachwok, Planning, Kadaghari, Kathmandu",Kathmandu,15500000,2,1,1.5,2,0-4-0-0 Aana,20 Feet , Gravelled,N/A Aana
"Attractive Residential Land On Sale : Land For Sale In Budhanilkantha, Kathmandu","Bhuddha colony, Budhanilkantha, Kathmandu",Kathmandu,3000000,0,0,N/A,0,12 Aana,16 Feet , Paved,N/A Aana
"18 Aana Land For Sale At Shamkhamul : Land For Sale In Sankhamul, Kathmandu","Sankhamul, Sankhamul, Kathmandu",Kathmandu,6500000,0,0,N/A,0,0-18-0-0 Aana,40 Feet , Blacktopped,N/A Aana
"Land On Sale At Beautiful Location : Land For Sale In Thankot, Kathmandu","High Vision Colony,Thankot,Mahadevsthan, Thankot, Kathmandu",Kathmandu,2350000,0,0,N/A,0,5 Aana,13 Feet , Blacktopped,N/A Aana
"4 Aana Land For Sale At Golfutar : Land For Sale In Golfutar, Kathmandu","Golfutar, Golfutar, Kathmandu",Kathmandu,4100000,0,0,N/A,0,0-4-0-0 Aana,13 Feet , Soil Stabilized,N/A Aana
"Commercial Estate Land For Business : Land For Lease In Simara, Bara","Simara Chok, Simara, Bara",Bara,100000,0,0,N/A,0,3.95 Kattha,16 Feet,NA,N/A Aana
"Commercial Estate Land For Business : Land For Lease In Dhapasi, Kathmandu","Basundhara, Ring Road, Dhapasi, Kathmandu",Kathmandu,200000,0,0,N/A,0,10 Aana,20 Feet,NA,10 Aana
"Land For Sale In Gaurighat, Kathmandu","kumarigal, Gaurighat, Kathmandu",Kathmandu,3500000,0,0,N/A,0,6.1 Aana,12 Feet , Paved,N/A Aana
"Flat At Rent : Flat For Rent In Budhanilkantha, Kathmandu","Budhanilkanta, Budhanilkantha, Kathmandu",Kathmandu,30000,2,1,N/A,0,4 Aana,11 Feet,NA,4 Aana
"18 Ana Budhanilkantha Taulung : Land For Sale In Budhanilkantha, Kathmandu","Man, Budhanilkantha, Kathmandu",Kathmandu,2800000,0,0,N/A,0,18 Aana,20 Feet , Blacktopped,N/A Aana
"Budhanilkantha 18 Ana Taulung : Land For Sale In Budhanilkantha, Kathmandu","Man, Budhanilkantha, Kathmandu",Kathmandu,3500000,0,0,N/A,0,18 Aana,30 Feet , Blacktopped,N/A Aana
"Land Sale At Jhor, Tokha : Land For Sale In Tokha, Kathmandu","Nearby Baudheshwor Temple, Jhor, Tokha, Kathmandu",Kathmandu,1500000,0,0,N/A,0,0-7-0-0 Aana,58 Feet , Concrete,N/A Aana
"Land : Land For Sale In Birtamod, Birtamod","Omchowk, Birtamod, Birtamod",Birtamod,1250000,0,0,N/A,0,11.5 Kattha,20 Feet , Soil Stabilized,N/A Aana
"Land Sale In Phutung : Land For Sale In Kavresthali, Kathmandu","Phutung, Kavresthali, Kathmandu",Kathmandu,1100000,0,0,N/A,0,0-4-0-0 Aana,10 Feet,NA,N/A Aana
"Land Sale In Chabahil : Land For Sale In Chabahil, Kathmandu","Chabahil, Chabahil, Kathmandu",Kathmandu,8500000,0,0,N/A,0,0-5-2-0 Aana,13 Feet,NA,N/A Aana
"Land Sale In Jarankhu : Land For Sale In Kavresthali, Kathmandu","Jarankhu, Kavresthali, Kathmandu",Kathmandu,2850000,0,0,N/A,0,0-4-0-0 Aana,10 Feet,NA,N/A Aana
"Land Sale In Dharmasthali : Land For Sale In Dharmasthali, Kathmandu","Dharmasthali, Dharmasthali, Kathmandu",Kathmandu,1450000,0,0,N/A,0,0-5-0-0 Aana,20 Feet,NA,N/A Aana
"Budhanilkantha Land : Land For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,2600000,0,0,N/A,0,41 Aana,15 Feet , Blacktopped,N/A Aana
"Deuba Chokma 1 Ropani : Land For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,3800000,0,0,N/A,0,1 Ropani,30 Feet , Blacktopped,N/A Aana
"Deuba Biwas 10 Ana : Land For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,3500000,0,0,N/A,0,10 Aana,30 Feet , Blacktopped,N/A Aana
"Consultancy : Office Space For Sale In Dillibazar, Kathmandu","Dilli bazzar road, Dillibazar, Kathmandu",Kathmandu,1000000,0,0,N/A,0,3 Aana,26 Feet,NA,N/A Aana
"Budhanilkanthama 8 Ropani 10 Ana : Land For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,3500000,0,0,N/A,0,8.10.0.0 Aana,32 Feet,NA,N/A Aana
"Bansbarima 8 Ana Jagga : Land For Sale In Golfutar, Kathmandu","Na, Golfutar, Kathmandu",Kathmandu,4200000,0,0,N/A,0,8 Aana,15 Feet,NA,N/A Aana
"Budhanilkanyha 8 Ropani : Land For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,6000000,0,0,N/A,0,8 Ropani,35 Feet , Blacktopped,N/A Aana
"Spacious Flat Bear Grande Hospital : Flat For Rent In Tokha, Kathmandu","Grande Villa height, milantol, tokha, Tokha, Kathmandu",Kathmandu,20000,2,1,N/A,1,5.5 Aana,18 Feet,NA,1100 Aana
"Land Sale : Land For Sale In Bhaktapur, Bhaktapur","duwakot, Bhaktapur, Bhaktapur",Bhaktapur,2100000,0,0,N/A,0,0-6-0-0 Aana,0 Feet,NA,N/A Aana
"Flat For RENT : Flat For Rent In Maharajgunj, Kathmandu","Chakrapath,Near Bhat Bhateni, Maharajgunj, Kathmandu",Kathmandu,32000,2,2,5,0,1000 Sq. Feet,10 Feet,NA,N/A Aana
"Commercial / Residential Land : Land For Sale In Imadol, Lalitpur","Kist hospital to hatiban road, Imadol, Lalitpur",Lalitpur,3500000,0,0,N/A,0,4.5 Aana,7 Meter , Gravelled,N/A Aana
"Hattigauda 9 Ana Home On Rent : House For Rent In Hattigauda, Kathmandu","Man, Hattigauda, Kathmandu",Kathmandu,75000,7,7,3,3,9 Aana,13 Feet , Blacktopped,N/A Aana
"Flat On Rent At Lazimpat : Flat For Rent In Lazimpat, Kathmandu","ranibari, Lazimpat, Kathmandu",Kathmandu,30000,1,1,N/A,1,10 Aana,0 Feet,NA,N/A Aana
"Bishalnagar 29 Ana For Sale : Land For Sale In Bishal Nagar, Kathmandu","Na, Bishal Nagar, Kathmandu",Kathmandu,8500000,0,0,N/A,0,29 ana Aana,16 Feet,NA,N/A Aana
"Land For Sale In Bhangal, Kathmandu","jyoti nagar,kathmandu, Bhangal, Kathmandu",Kathmandu,2450000,0,0,N/A,0,0-5-0-0 Aana,16 Feet,NA,N/A Aana
"Tallo Baluwatar 1 Ropani : Land For Sale In Baluwatar, Kathmandu","Na, Baluwatar, Kathmandu",Kathmandu,5700000,0,0,N/A,0,16 Aana,14 Feet,NA,N/A Aana
